BRD-A03436432, COc1cccc(S(=O)(=O)NC2CCN(C#N)C2)c1
BRD-A03520402, CC(C)c1ccc(C2C(C#N)=C(N)C(C#N)(C#N)C3=CCN(C)CC32)cc1
BRD-A03623303, COCCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A03772856, COc1ccccc1C1N(c2ccc(Cl)cc2)C(=O)C2CCCN21
BRD-A03816571, CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1
BRD-A03926027, N#CC1=C(N)Nc2c(c(=O)oc3ccccc23)C1c1ccc(Br)cc1
BRD-A03946276, O=C1Nc2ccc([N+](=O)[O-])cc2C12NNc1ccccc1O2
BRD-A04020513, CCCCS(=N)(=O)CCC(N)C(=O)O
BRD-A04026261, CCCCCCCCNC(=O)C(Cc1ccc(OCc2ccncc2)cc1)NC(=O)C1CCC(CN)CC1
BRD-A04172077, COc1ccc2ccc(=O)oc2c1CC(O)C(C)(C)OC
BRD-A04260165, Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1
BRD-A04308630, COC(=O)C1=COC(O)C2C(CO)=CCC12
BRD-A04327189, CNCC(O)c1ccc(O)cc1
BRD-A04332542, CC(=O)NCC(O)c1ccc(O)cc1
BRD-A04352665, Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
BRD-A04392722, CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c1ccccc1
BRD-A04438777, C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1
BRD-A04553218, CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
BRD-A04668240, CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1
BRD-A04706586, CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC
BRD-A04756508, C#C[C@]1(OC(C)=O)CCC2C3CCC4=C/C(=N/O)CCC4C3CC[C@@]21CC
BRD-A04831598, NC1CCc2ccccc2C1
BRD-A05186015, CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
BRD-A05352148, CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
BRD-A05457250, COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F
BRD-A05565054, CCC1CCCCN1C(=O)n1cc(C(O)(c2ccccc2)c2ccccc2)nn1
BRD-A05581237, [C-]#[N+]c1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1
BRD-A05680309, CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1CCCc2ccccc21)C(C)C
BRD-A05729358, CCOC(=O)C12CC1/C(=N\O)c1ccccc1O2
BRD-A05831822, COc1ccc(C2NC(=O)c3ccccc3N2)cc1COc1ccc(NC(C)=O)cc1
BRD-A05874290, NC(C(=O)O)C(OCc1ccccc1)C(=O)O
BRD-A06131576, CC(C)C1CCC(C)C(C(O)c2ccc(-c3ccccc3)cc2)C1=O
BRD-A06276885, Oc1ccc2c3c1OC1c4c(c5ccccc5n4Cc4ccccc4)CC4(O)C(C2)N(CC2CC2)CCC314
BRD-A06304526, COC1/C=C/C=C(\C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O
BRD-A06352418, CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
BRD-A06352508, O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1
BRD-A06390036, CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
BRD-A06641369, CC(C)Oc1cccc(C(=O)C2CCCN(Cc3cnn(C(C)C)c3)C2)c1
BRD-A06664848, CC(Sc1nc2cc(Cl)ccc2s1)C(=O)Nc1cccc(S(=O)(=O)N2CCOCC2)c1
BRD-A06726973, CCCC(=O)Nc1nc2c(ncn2C2O[C@H]3COP(=O)(O)O[C@@H]3[C@@H]2OC(=O)CCC)c(=O)[nH]1
BRD-A06779035, COc1cc(C(O)CN)cc(OC)c1OC
BRD-A06784547, CCOC(=O)C1=C(C)NC(c2ccccc2)=C(C(=O)OCc2ccc([N+](=O)[O-])cc2)C1C#Cc1ccccc1
BRD-A06909528, O=C1N(Cc2ccccc2)c2ccccc2C12NNc1ccccc1O2
BRD-A06929388, CCN(CC)CC(C(=O)c1ccc(F)cc1)c1ccccc1
BRD-A07000685, C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@@]43C)C1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O
BRD-A07029265, CC(C)[N+]1(C)C2CC[C@@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
BRD-A07106394, NC(Cc1c[nH]c2ccccc12)C(=O)O
BRD-A07395371, COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A07440155, CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
BRD-A07614565, CCOc1ccc(C(Nc2cccnc2)c2cc(Cl)c3cccnc3c2O)cc1
BRD-A07765530, CNCC(O)c1ccc(O)c(O)c1
BRD-A07780951, CC(C)NCC(O)c1cc(O)cc(O)c1
BRD-A07824748, O=C1CC(c2ccccc2)Oc2ccccc21
BRD-A07875874, COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
BRD-A07893380, C=CC(N)CCC(=O)O
BRD-A07932845, CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
BRD-A08003242, CCC(C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)CC)c(O)c3c2c1O
BRD-A08027849, CC(CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
BRD-A08062015, CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
BRD-A08187463, CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1
BRD-A08200164, NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
BRD-A08255417, CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O
BRD-A08610364, CCOC(=O)CCCC(=O)Nc1ncnc2c1C(c1ccccc1)c1c(ccc3ccccc13)O2
BRD-A08658758, CC1CC(=O)NN=C1c1ccc(F)c(F)c1
BRD-A08660406, CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
BRD-A08662020, CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)Nc1cccc2ncccc12)C(C)C
BRD-A08709697, CO[C@H](C)C(O)(C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12)C(C)C
BRD-A08877921, COC1=CC23CCCN2CCc2cc4c(cc2C3C1O)OCO4
BRD-A09053961, NC(Cc1cc(O)c(O)cc1Cl)C(=O)O
BRD-A09056319, COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
BRD-A09062839, CCC(C)(CN(C)C)OC(=O)c1ccccc1
BRD-A09073503, CN(C)CCC[N+]1([O-])c2ccccc2Sc2ccc(Cl)cc21
BRD-A09094913, O=C1CC2OCC=C3CN4CC[C@]56c7ccccc7N1C5[C@H]2[C@H]3CC46
BRD-A09161221, CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]543)[C@]21C
BRD-A09164687, Cc1cc(C)c(OCC(O)CNC(C)(C)C)c(C)c1
BRD-A09186529, O=C(/C=C/c1ccccn1)NC(Cc1c[nH]c2ccccc12)C(=O)O
BRD-A09349126, C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C
BRD-A09467419, CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
BRD-A09472452, O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
BRD-A09495397, CN1CCc2cc3c(cc2[C@H]1C1OC(=O)c2c1ccc1c2OCO1)OCO3
BRD-A09533288, COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
BRD-A09539288, CN1C2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2
BRD-A09719808, CCC(OC(=O)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1)C(=O)NC1C2CC3CC(C2)CC1C3
BRD-A09722536, O=P1(N(CCCl)CCCl)NCCCO1
BRD-A09749088, C=C[C@]1(C)C=C2CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1O
BRD-A09828896, Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1
BRD-A09925278, CCNCC(O)c1cccc(O)c1
BRD-A09984573, CSC1=C(C#N)C(=O)NC(c2ccc(Cl)cc2)S1
BRD-A10070317, CC(C)NCC(O)COc1cccc2ccccc12
BRD-A10188456, C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A10303790, CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21
BRD-A10330754, S=C(NCC1CCCO1)Nc1cnn(Cc2ccc(Cl)cc2)c1
BRD-A10355991, NC1(c2ccccc2Cl)CCCCC1=O
BRD-A10386413, O=C1OC(C(O)CO)C(O)C1=O
BRD-A10396145, COc1cc(CC(O)CO)ccc1O
BRD-A10420615, CC(=O)C1C(=O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O
BRD-A10523515, CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1
BRD-A10606614, CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21
BRD-A10662413, CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
BRD-A10715913, CCN1CCC(CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1
BRD-A10903566, CCn1ccnc1CC1COc2ccccc2O1
BRD-A10969569, COc1c2c(cc3c1OCO3)C13C=C[C@H](OC)CC1N(C2)CC3O
BRD-A10977446, COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
BRD-A11007541, O=C1/C(=C\c2ccccc2)C(NC2CCCCC2)c2ccccc21
BRD-A11009626, CN1CCc2cc(Br)c(O)cc2C(c2ccc(N(CCCl)CCCl)cc2)C1
BRD-A11087911, Cc1noc(C)c1-c1ccc2ncnc(NC(C)c3ccco3)c2c1
BRD-A11095214, O=C(c1ccccc1)N(C(=O)c1ccccc1)c1ncnc2c1C(c1ccccc1)c1c(ccc3ccccc13)O2
BRD-A11132253, NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
BRD-A11135865, Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4
BRD-A11170096, CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21
BRD-A11263757, Nc1ncn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
BRD-A11483079, CC(C)C1COc2cc3oc(=O)ccc3cc2O1
BRD-A11512624, CCOC(=O)CC(=O)Nc1ncnc2c1C(c1ccccc1)c1c(ccc3ccccc13)O2
BRD-A11605036, COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2
BRD-A11609859, CN1CCC2(c3cccc(O)c3)Cc3nc4ccccc4cc3CC2C1
BRD-A11678676, COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O
BRD-A11702965, COC1C(O)CC(OC2CC(Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](OC3CC(OC4CC(OC6CC(C)(O)C(C)C(C)O6)C(O)C(C)O4)C(O)C(C)O3)[C@@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C5)OC(C)C2OC(C)=O)OC1C
BRD-A11706664, CN1N=C(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3ncnc1c23
BRD-A11731846, CC(/C=C/C1(O)C(C)CC(O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O
BRD-A11776908, C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl
BRD-A11813248, CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1
BRD-A11929187, Cc1nc(N2CCN(C(=O)c3ccco3)CC2)c2c3c(sc2n1)CC(C)CC3
BRD-A11968133, COc1cccc(Cn2ncc3c4sc(S(C)=O)cc4n(C)c3c2=O)c1
BRD-A11990600, O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
BRD-A12016240, CN1C2CCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
BRD-A12083771, CCCn1ncc(CN2CCCC(C(=O)c3cccc(OC(C)C)c3)C2)c1C
